,Unnamed: 0,req1,req2,Label,req1Product,req2Product
0,2089,display offline status in program window title bar when thunderbird is working offline,advanced search message result should have message preview pane,0,Thunderbird,Thunderbird
1,6424,bug remove console jsm,basic support for apz zooming with containerless scrolling,0,DevTools,Core
2,6320,seamonkey malfunctions/errors,restore about page for seamonkey after bug removed it from gecko,0,SeaMonkey,SeaMonkey
3,6939,phase switch builtin search engine to webextensions,support for ui language switcher add ons,0,Firefox,WebExtensions
4,5014,migrate input box / input box spell to custom element,stop using nsidomxulcheckboxelement,0,Toolkit,Core
5,5326,add j to toolkit a log jsm,extend life of popup notification histogram,0,Toolkit,Toolkit
6,8024,enable pref for custom svg icon support via theming api,implement persistence for isenabled/iscollapsed for section that work with webextension section,0,WebExtensions,Firefox
7,3248,implement devtools inspectedwindow getresources,implement image theme ntp background property ntp background alignment repeat,0,WebExtensions,WebExtensions
8,5887,devtools support for scrolling snap point,drop nscssscanner and csslexer,0,DevTools,Core
9,7421,get webrender passing all web platform test,test verify should not try to run test on configs/branches where they are not scheduled in taskcluster,0,Core,Testing
10,3858,feature request per account offline status,provide option to block remote content for individual message after manual un block and/or automatically block again after certain configurable amount of time or at end of session,0,Thunderbird,Thunderbird
11,4390,eslint remove remaining violation of no unsanitized rule,investigate use of when querying for maintenance service install,0,Firefox Build System,Firefox
12,8143,send unsent message when fetching mail,add support for online address book using carddav format,0,Thunderbird,Thunderbird
13,473,remove nsiscriptableunicodeconverter,show with star in tab and title when tab contains form input that are lost upon closing,0,Core,Firefox
14,5535,land newtabsection api in mozilla central,change toolbar icon from png to svg,0,WebExtensions,Firefox
15,5737,extend webextensions with custom apis so more legacy add ons can be ported,test for incognito value during tab onremoved,0,WebExtensions,WebExtensions
16,1063,update webrender to wr pr,stop using unnecessary type attribute on script tag loading mochitest harness file,0,Core,Testing
17,5096,developer tool maintenance and clean up,remove duplicated pluralform j in devtools,1,DevTools,DevTools
